# X-coordinate(cm) Y-coordinate(cm) Count
18.5936 8.66667 6248
18.5936 9.66667 5249
20.3257 9.66667 5747
30.718 9.66667 4997
61.6062 9.83333 5750
71.7098 8.66667 4998
14.8337 1.43884 6081
23.5264 16.8656 6866
51.5026 15.3333 7784
54.3893 13.6667 6992
39.9556 10.3333 7496
85.8549 9.83333 3749
31.0066 7.16667 4500
5.60879 16.8237 3910
38.5122 3.16667 7821
61.0289 16.8333 6430
45.4404 13.8333 9749
57.8534 15.6667 8192
29.2791 4.17441 8263
15.4182 15.1667 5007
42.265 13.6667 8747
56.6987 15.3333 7841
41.3989 14.1667 6250
51.5026 7.66667 9746
22.9241 14.8338 6503
20.3257 11.6667 5246
33.316 6.16667 6500
33.0274 8.33333 7999
33.316 8.16667 6246
13.6861 14.1667 5000
11.6654 13.3333 4749
7.91263 12.8333 4249
8.20131 12.6667 3250
8.20131 8.66667 4747
9.93336 9.66667 5000
15.1295 9.66667 5500
42.8423 9.66667 6999
51.5026 9.66667 7500
52.3686 10.1667 6249
70.5551 7.66667 8748
38.5122 13.8333 5748
8.7787 6.3334 4498
17.8328 0.865901 5026
21.1906 17.1584 4005
34.4707 12.1667 5746
34.1826 16.334 5502
74.0151 17.3781 5795
33.8934 14.8333 7746
35.9241 2.61927 7962
8.20131 11.6667 3248
97.4019 15.8336 3499
18.8823 13.1667 6250
15.1295 15.3333 8030
18.3049 14.8333 5246
8.20131 14.3333 4249
25.2331 13.8333 7497
28.1199 13.8333 4499
26.9652 12.8333 6500
67.9571 13.8333 6249
7.33531 4.83339 5506
12.2428 10.3333 4497
13.1088 9.83333 3750
16.8616 10.3333 6248
23.7898 9.66667 7249
27.8312 10.3333 7750
69.1118 8.16667 5997
73.1532 10.8333 6249
97.6906 7.66667 3496
31.2953 6.33333 5750
27.2539 16.3333 5262
19.17 5.33514 5824
62.7643 4.83929 6822
39.0895 4.83333 8251
19.171 11.3333 4996
54.678 9.83333 6747
80.9474 9.66667 5750
20.7871 18.2728 8621
21.4804 6.66684 6748
83.5455 5.83333 4499
44.863 13.1667 8996
49.7705 16.3333 7779
7.04661 8.33333 5999
9.06733 9.83333 3748
9.64468 10.8333 3498
22.0577 11.3333 5750
28.1199 10.8333 7248
34.7594 10.3333 5746
35.9141 9.66667 8499
43.7083 9.16667 5498
54.1007 10.8333 8750
65.9363 10.3333 9247
18.5935 6.66709 3749
33.316 13.1667 4497
77.1947 4.83333 6000
43.7083 8.16667 9250
26.9652 4.83333 5495
75.1739 4.66667 4749
74.8853 7.83333 6750
36.7801 14.8333 4997
59.2968 8.16667 6499
4.44853 10.8333 3500
23.7898 6.33333 7249
10.5256 17.6961 3874
9.64118 17.1606 3118
7.91303 5.16735 4761
11.9565 3.83065 4504
8.48998 14.8333 3998
5.31456 13.6667 4747
7.04664 14.6666 4747
73.7306 4.83333 5750
8.20135 6.66674 5747
7.91263 8.16667 6249
7.91263 8.83333 4998
10.5107 10.6667 4496
15.1295 10.3333 5747
11.3767 7.83334 3999
60.4515 12.1667 8498
12.8201 6.33339 3748
11.3766 5.16683 4249
69.6891 14.8333 6998
40.2442 7.16667 5250
36.4915 14.3333 5746
26.0992 14.3333 9497
46.8838 12.3333 7250
12.8201 10.6667 5250
59.0081 10.3333 7246
83.5455 9.16667 4497
20.3307 1.73758 5760
28.9859 7.33337 7248
87.0096 7.83333 4999
94.8059 2.67015 3242
78.3494 7.16667 5750
76.3286 14.3333 7999
26.1385 18.3129 6877
16.8589 16.6721 5003
48.9045 15.1667 6499
41.9763 14.8333 7500
52.6573 5.66667 6748
41.3989 4.16685 8759
41.1103 6.66667 7997
78.3494 11.8333 6746
29.2746 8.16667 5997
38.8009 10.6667 7500
43.4197 10.3333 8498
19.9745 17.7662 6308
22.9237 5.83334 7498
73.1532 4.16667 5250
56.9874 15.1667 8998
23.5011 4.83333 5563
40.5329 14.6667 8749
28.4086 13.6667 7497
77.4833 12.3333 5997
89.319 5.83333 4250
33.316 10.8333 6750
41.9763 10.1667 8497
86.1436 9.66667 4247
19.4588 17.1656 4881
9.93924 17.3784 3353
36.7848 16.8253 6795
18.8823 12.1667 5748
41.1108 16.6645 5665
31.873 15.6662 5799
58.1421 12.8333 8498
51.5026 5.66667 5249
89.6077 6.66667 2998
56.6987 10.3333 7246
28.6511 18.8192 5602
23.7898 11.3333 4999
78.6393 17.6558 4856
73.4412 16.6655 5224
32.1613 5.83333 5499
25.5211 4.66657 6512
26.3878 13.1667 6997
76.3286 12.3333 6498
92.4944 4.66667 4498
96.5359 7.66667 4748
60.7402 10.3333 8997
62.4722 10.3333 3498
31.584 8.16667 5997
28.9976 3.69528 6891
71.9985 5.83333 6493
50.6366 14.1667 8249
41.6876 10.3333 7000
48.6158 10.3333 8000
21.324 1.71134 5574
6.75793 8.83333 4249
4.5165 17.9161 2715
83.5441 15.8301 4565
40.8216 7.83333 4498
28.9865 5.3344 7263
27.5425 5.16667 6507
27.2539 8.33333 4998
7.624 6.3334 3498
35.0481 9.16667 6997
64.4932 4.83381 8249
51.2139 14.8333 6998
26.0992 11.3333 7998
57.2761 10.3333 6747
67.091 11.3333 6748
15.9955 7.83333 4750
36.4915 7.33333 8747
75.1824 2.68124 5114
4.15986 8.66667 3497
61.8949 14.6667 7749
8.48998 14.1667 3999
22.6351 9.33333 6500
56.4101 9.83333 7996
68.5344 9.83333 7500
75.7513 9.66667 5247
97.4019 9.16667 2997
44.5744 15.3333 5246
5.31461 15.3332 4747
17.8262 2.01315 4638
77.4833 2.66667 6212
42.833 2.66985 6779
33.3139 16.8371 5688
3.58251 11.6667 2997
81.8141 14.1656 4746
11.9566 3.16386 4885
18.5936 16.3333 4763
52.6573 7.66667 7996
56.1214 14.6667 5513
52.946 12.8333 7997
16.5729 9.83333 6499
25.2331 8.83333 7248
64.2043 10.3333 5999
86.7209 10.3333 3247
87.587 9.83333 4750
64.2043 12.3333 5499
9.93336 16.3333 2972
63.9163 4.16793 7762
10.5107 14.3333 7250
60.4515 7.16667 8246
46.8838 10.3333 6999
68.8231 12.6667 6749
40.7951 17.9277 5640
43.4197 13.3333 8496
95.6699 4.83333 3247
67.9571 8.16667 4999
59.2968 11.8333 8498
4.73721 14.6667 4497
23.7899 14.6668 5499
37.6493 17.3236 6420
60.4515 6.16667 7996
35.6254 14.8333 4498
96.5359 8.66667 3997
56.1597 18.601 6482
11.9541 11.8333 4746
22.3464 6.83336 7247
46.0177 14.1667 10248
43.131 6.83333 8248
48.6197 17.7011 8455
40.5329 12.3333 6746
17.1502 11.8333 5496
2.71648 16.1667 1535
47.4611 13.3333 8249
56.9931 2.8432 7561
38.2235 7.66667 9249
38.2235 6.66667 5746
42.265 13.3333 9248
41.3989 12.8333 7497
44.8573 2.84323 5899
36.2074 2.84137 6321
30.1461 3.34282 7602
18.0163 12.3333 5246
56.1214 3.33333 8189
42.5536 12.1667 7997
35.6254 13.1667 6248
58.1421 13.1667 9500
33.6014 2.33911 6021
35.3368 3.33333 8450
49.4856 17.1602 7848
3.58251 12.3333 4497
60.7402 16.6667 5911
42.555 17.1607 8149
43.997 13.3333 9996
14.8408 6.16688 4747
21.769 5.16714 4465
22.6351 5.66667 4754
43.997 14.3333 7247
64.7819 4.66708 7749
63.053 4.33926 5537
49.4819 16.1667 8018
29.2805 3.84359 6333
43.131 14.8333 6248
41.3989 13.8333 7746
59.0081 12.6667 7499
61.6062 16.1667 6959
62.4722 15.6667 5991
50.3479 15.6667 7247
61.3314 4.35733 6246
63.3383 15.1667 7751
43.997 4.33333 7249
39.0895 5.16667 7746
50.0592 4.83333 9000
51.7913 4.83333 7254
52.6573 5.33333 5496
51.7913 5.83333 5247
51.7913 6.83333 7750
44.2857 6.16667 7998
43.131 4.83333 6249
42.265 5.33333 7248
46.5951 7.83333 9497
34.4707 4.83333 4997
33.0274 6.66667 5247
33.6047 6.33333 4998
28.6973 6.16684 5506
24.9438 4.33324 7247
60.454 4.83761 6990
59.5855 5.33333 6502
59.5855 6.33333 6749
35.6254 15.1667 6247
40.5329 14.3333 5749
39.6669 13.8333 6499
39.0895 15.1667 6749
36.2028 12.8333 8000
37.3575 14.1667 5498
38.2235 13.6667 6997
38.2235 12.6667 5747
28.4086 13.3333 6499
27.8312 12.6667 5749
55.2554 13.8333 7500
54.6714 15.1669 7563
50.9252 13.3333 9496
53.812 12.6667 8500
9.64468 10.1667 3498
24.0784 8.83333 5998
27.8312 10.6667 5497
33.0274 10.6667 5998
36.2028 8.83333 5999
38.8009 8.33333 8246
39.9556 10.6667 6248
41.3989 8.83333 6500
42.5536 11.1667 8248
46.0177 10.1667 5500
48.6158 10.6667 7748
49.4819 10.1667 6999
51.2139 10.1667 6750
53.812 10.6667 8498
54.678 10.1667 5996
56.4101 10.1667 6746
61.3175 8.33333 5748
61.6062 10.1667 7750
62.4722 10.6667 5748
63.3383 10.1667 6000
55.1667 18.5592 8309
50.6209 17.8265 7033
74.3065 17.1643 7022
43.7083 13.1667 6999
33.0251 17.6886 5290
